,NOAA_Species_Name,UDAQ_Species_Name,Calibration_Equation,RMSE_Original,RMSE_Calibrated,RMSE_Improvement
0,ML_NoVar_0,nDodecane,,,,
1,Ethane_WAS,Ethane,Calibration equation: O_hat = -0.1756 + 0.9544 * M,0.5698478365221639,0.49442203374948734,13.236130408603014
2,Ethene_WAS,Ethylene,Calibration equation: O_hat = -0.1157 + 0.9818 * M,0.22179627711839076,0.18315603578007722,17.421501316583456
3,Propane_WAS,Propane,Calibration equation: O_hat = -0.1499 + 0.9890 * M,0.7400578033875057,0.7221571612928964,2.4188167481880107
4,Propene_WAS,Propylene,Calibration equation: O_hat = -0.0859 + 1.1352 * M,0.10203015691691007,0.07921536851083848,22.360828499608395
5,Ethyne_WAS,Acetylene,Calibration equation: O_hat = 0.0589 + 0.9730 * M,0.15101388017954093,0.14105202337877581,6.59664978406053
6,nButane_WAS,nButane,Calibration equation: O_hat = -0.2141 + 1.2997 * M,0.3917161574720348,0.35911175033820436,8.32347773046817
7,iButane_WAS,Isobutane,Calibration equation: O_hat = 0.0099 + 0.8993 * M,0.21873113777786857,0.2163381183588018,1.0940460710705935
8,t2Butene_WAS,trans2Butene,Calibration equation: O_hat = 0.0070 + 0.5066 * M,0.02052369432861619,0.017656915013081097,13.968144670416088
9,c2Butene_WAS,cis2Butene,Calibration equation: O_hat = 0.0033 + 1.6364 * M,0.016172484803080894,0.012639007636008377,21.84869678405499
10,x13_Butadiene_WAS,buta13diene,Calibration equation: O_hat = 0.0073 + 0.0226 * M,0.06448010719963515,0.012185834625059584,81.10140451948794
11,nPentane_WAS,nPentane,Calibration equation: O_hat = -0.1903 + 1.1797 * M,0.3071596437201268,0.2783704004616977,9.372729734203245
12,iPentane_WAS,Isopentane,Calibration equation: O_hat = -0.3099 + 1.2347 * M,0.4957384244731112,0.4501401116901878,9.198059002867684
13,x1_Pentene_WAS,Pent1ene,Calibration equation: O_hat = -0.0183 + 0.8547 * M,0.028272173060895987,0.013933153905026769,50.71778219871577
14,t2Pentene_WAS,trans2Pentene,Calibration equation: O_hat = 0.0012 + 0.6035 * M,0.026623412990562555,0.021890826448902476,17.77603248440642
15,c2Pentene_WAS,cis2Pentene,Calibration equation: O_hat = 0.0052 + 0.6511 * M,0.01694914070512726,0.016014801748472383,5.512603694252365
16,x3_MethylPentane_WAS,x3_Methylpentane,Calibration equation: O_hat = -0.0195 + 0.9217 * M,0.050787720649851355,0.042460033425184784,16.397048574163456
17,nHexane_WAS,nHexane,Calibration equation: O_hat = -0.0148 + 0.9131 * M,0.078090720189825,0.07170266609002651,8.18029861201208
18,nHeptane_WAS,nHeptane,Calibration equation: O_hat = -0.0013 + 1.0245 * M,0.034814078580412085,0.03477592375104717,0.10959597645759084
19,nOctane_WAS,nOctane,Calibration equation: O_hat = 0.0033 + 1.5618 * M,0.02888741268808833,0.019243464330002083,33.384604091119975
20,nNonane_WAS,nNonane,Calibration equation: O_hat = 0.0133 + 0.2170 * M,0.018241159519952112,0.01023082667126261,43.91350692332815
21,nDecane_WAS,nDecane,Calibration equation: O_hat = 0.0176 + 0.0779 * M,0.0359172358923448,0.013805396025772871,61.563311644715746
22,CycloPentane_WAS,Cyclopentane,Calibration equation: O_hat = 0.0009 + 0.9909 * M,0.021775496623751413,0.021763410343847163,0.05550403792429477
23,Isoprene_WAS,Isoprene,Calibration equation: O_hat = 0.0177 + 0.7647 * M,0.19654451359854358,0.1615768237597034,17.791231715714144
24,x22_DiMethylButane_WAS,x22_Dimethylbutane,Calibration equation: O_hat = 0.0047 + 0.8655 * M,0.0160741368630464,0.015567781554347203,3.1501244080065196
25,ML_NoVar_25,Hex1ene,,,,
26,ML_NoVar_26,x24_Dimethylpentane,,,,
27,ML_NoVar_27,Cyclohexane,,,,
28,ML_NoVar_28,x3_Methylhexane,,,,
29,x224_TriMethylPentane_WAS,x224_Trimethylpentane,Calibration equation: O_hat = 0.0191 + 0.7070 * M,0.05754772415548609,0.04861988016253139,15.51380897154662
30,ML_NoVar_30,x234_Trimethylpentane,,,,
31,ML_NoVar_31,x3_Methylheptane,,,,
32,MethylCycloHexane_WAS,Methylcyclohexane,Calibration equation: O_hat = 0.0091 + 1.4545 * M,0.035396022562125526,0.02241916756513524,36.66190169873998
33,MethylCycloPentane_WAS,Methylcyclopentane,Calibration equation: O_hat = 0.0153 + 0.7090 * M,0.04753116529511901,0.04213270740138283,11.357722581000036
34,ML_NoVar_34,x2_Methylhexane,,,,
35,x1_Butene_WAS,But1ene,Calibration equation: O_hat = -0.0245 + 1.1922 * M,0.022723953862135004,0.014727493611716385,35.189563836173534
36,ML_NoVar_36,x23_Dimethylbutane,,,,
37,x2_MethylPentane_WAS,x2_Methylpentane,Calibration equation: O_hat = -0.0178 + 0.6228 * M,0.10646163008294794,0.04919751692859897,53.78849930226741
38,ML_NoVar_38,x23_Dimethylpentane,,,,
39,HCHO_CRDS,Formaldehyde,Calibration equation: O_hat = -0.1498 + 1.0271 * M,0.2444308505819959,0.228334274457359,6.585329178502046
40,ML_NoVar_40,nUndecane,,,,
41,ML_NoVar_41,x2_Methylheptane,,,,
42,m_p_Xylene_WAS,mpXylene,Calibration equation: O_hat = 0.0201 + 0.3741 * M,0.10450486732304537,0.04248416368031894,59.347191409762836
43,Benzene_PTR,Benzene,Calibration equation: O_hat = 0.0284 + 0.9139 * M,0.1751596490373983,0.17423661185404626,0.5269690755974088
44,Toluene_PTR,Toluene,Calibration equation: O_hat = 0.0436 + 0.6294 * M,0.2803929405769558,0.21699943151393325,22.608810668549538
45,Ethyl_WAS,Ethylbenzene,Calibration equation: O_hat = 0.0059 + 0.5437 * M,0.02006558900313377,0.014815699536336643,26.163644964407563
46,o_Xylene_WAS,oXylene,Calibration equation: O_hat = 0.0068 + 0.4730 * M,0.030613834450393458,0.018960258887274258,38.06637022880165
47,x135_TriMethylBenzene_WAS,x135_Trimethylbenzene,Calibration equation: O_hat = 0.0098 + 0.1419 * M,0.012032891779115328,0.007128825491342058,40.75550896489341
48,x124_TriMethylBenzene_WAS,x124_Trimethylbenzene,Calibration equation: O_hat = 0.0031 + 0.4298 * M,0.022420800755864525,0.010657243339816463,52.467160045437325
49,nPropylBenzene_WAS,nPropylbenzene,Calibration equation: O_hat = 0.0040 + 0.0849 * M,0.008001401375301942,0.0035364523427126033,55.802087948885685
50,iPropylBenzene_WAS,Isopropylbenzene,Calibration equation: O_hat = 0.0021 + -0.0038 * M,0.0038326273309656025,0.0016448028283311108,57.08419613245531
51,x2_EthylToluene_WAS,oEthyltoluene,Calibration equation: O_hat = 0.0032 + 0.0878 * M,0.013292313935357429,0.002862243063954557,78.46693150738024
